Vendor,Primary_Category,Model_Type,License_Type,Special_Flags,Skill_Level,Best_For,Model,Modality,Key Features,Duration/Resolution,Controls,Speed,Pricing,License,Update Cadence,Distinctive Edge,Pro Tips,Drawbacks,Notable Sources,thumbnail_url
OpenAI,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Sora v1,Text-to-Video,"The original breakthrough text-to-video model that produces realistic and imaginative scenes from text instructions. Established a new benchmark for quality, world consistency, and prompt adherence.",Up to 60s of video at 1080p.,"Text prompts describing scenes, characters, and motion.",N/A (Not publicly available),Not publicly available.,Closed-source research model.,Announced Feb 2024.,"Set the standard for high-fidelity, long-form AI video generation, demonstrating a deep understanding of the physical world.",,"Remained a research preview, not released to the public. Some issues with physics and causality in complex scenes.",openai.com/sora,
OpenAI,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Sora 2 Pro,Text-to-Video (+Audio),"Physically accurate video with synced dialogue/SFX; ""cameos"" insert personal scans; multi-shot narratives with better world consistency",Up to ~20 s at 1080p (Pro tier); 4K showcase reels,"Text prompts, reference cameos, scene templates; social remix controls",~2 min per clip in early access (queue-based cloud service),Included with ChatGPT Pro ($20/mo) today; token metering for higher tiers forthcoming,Closed-source (OpenAI hosted); usage governed by Sora Terms (no disallowed content),Sora 2 announced Oct 2025; Pro tier iterated alongside app updates,Premium tier combines highest fidelity with pro editing knobs inside the iOS app,,Region-limited invite rollout; compute throttling during spikes; no API yet,openai.com/index/sora-2/; eesel.ai/blog/sora-2-pricing,
OpenAI,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Sora 2 (Standard),Text-to-Video (+Audio),"Invite-only social app with world-simulated scenes; supports ""cameos"" and soundtrack generation",Up to ~20 s at 720p (higher res via upgrade); clips shareable directly from iOS app,"Text prompts, remix tools, cameo library; simple editing timeline",Cloud queues (compute scaled by invite cohort),"Free during limited preview with ""generous"" usage caps per invite",Closed beta (OpenAI); user outputs bound by community guidelines,Rolling Oct 2025 invite wave; updates shipped through App Store releases,Zero-cost entry to top-tier AI video for creators; tight knit sharing loop,,Waitlist required; throughput throttled during demand spikes; no desktop or API support,openai.com/index/sora-2/; eesel.ai/blog/sora-2-pricing,
Microsoft/OpenAI,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Sora (Azure AI Foundry),Text-to-Video,Original Sora model available via Azure AI Foundry; generates realistic scenes from text; integrates into enterprise workflows,Up to 20 s video at up to 1080p per Microsoft docs,Text or REST API prompts; image-to-video coming; managed via Azure AI Studio,Runs on Azure managed GPUs; async job workflow,Azure consumption-based pricing (per generated video minute) via Azure OpenAI billing,Proprietary hosted (Azure preview),Preview availability 2025 via Azure AI Foundry,Enterprise-friendly access to Sora with Azure governance & compliance,,Preview only; region & quota limits; image/video inputs still rolling out,learn.microsoft.com/en-us/azure/ai-foundry/openai/concepts/video-generation; ai.azure.com/catalog/models/sora,
Google,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Veo 3 Audio (Gemini API),Text-to-Video (+Audio),"Flagship Veo 3 model with native audio, 1080p output, and strong physics/prompt adherence",2–10 s clips (extendable via API) at 1080p,Text prompts; optional reference images; adjustable aspect ratios,Standard Gemini API throughput (seconds per frame),$0.20/s (silent) or $0.40/s (audio) via partners like fal.ai; Vertex AI per-second billing,Proprietary (Gemini API),Veo 3 GA mid-2025 with continuing updates,High-fidelity video + synchronized audio for premium productions,,High per-second cost vs. newer 3.1 Fast; safety filters may trim outputs,cloud.google.com/vertex-ai/generative-ai/docs/model-reference/veo-video-generation; fal.ai/models/fal-ai/veo3,
Google,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Veo 3 Fast Audio (Gemini API),Text-to-Video (+Audio),Faster Veo 3 tier balancing quality and speed; retains native dialogue/SFX,2–10 s clips at 1080p,Text prompts; reference images; same controls as standard,Optimized fast queue for rapid iteration,$0.25/s (silent) or $0.40/s (audio) per fal.ai (≈$2 for 5 s audio),Proprietary (Gemini API),Released alongside Veo 3 fast preview in 2025,Cut iteration cost/time while keeping audio-enabled workflows,,Still pricey vs. Veo 3.1 Fast; preview access subject to quotas,cloud.google.com/vertex-ai/generative-ai/docs/model-reference/veo-video-generation; fal.ai/models/fal-ai/veo3/fast,
Google,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Veo 3 Fast (Gemini API),Text-to-Video,Silent fast tier for quick drafts; maintains Veo 3 visual fidelity,2–10 s clips at 1080p,Text prompts; reference images; can add audio in post,Fastest Gemini queue among Veo 3 variants,$0.25/s (silent) via fal.ai; enterprise discounts via partners,Proprietary (Gemini API),Fast preview available 2025,Best option for rapid iteration before adding custom sound,,No native audio; still more expensive than 3.1 Fast; preview gating,fal.ai/models/fal-ai/veo3/fast; kie.ai/v3-api-pricing,
Google,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Veo 3 (Silent Gemini API),Text-to-Video,Standard Veo 3 visual model without audio; excels at realistic motion and cinematography,2–10 s clips at 1080p,Text prompts; reference images; aspect ratio controls,Standard queue (seconds per frame),$0.20/s (silent) via fal.ai; Google AI Studio/Vertex usage fees apply,Proprietary (Gemini API),Stable release mid-2025,Delivers Veo 3 quality for users layering custom sound design,,Lacks native audio; per-second billing costly for long clips,fal.ai/models/fal-ai/veo3; cloud.google.com/vertex-ai/generative-ai/docs/model-reference/veo-video-generation,
Google,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Veo 2 (Gemini API),Text-to-Video,Earlier Veo generation with hybrid transformer diffusion; strong cinematic control but no native audio,Generates up to 1 min (Vertex) at 1080p (typically 5–10 s per call),Text prompts; style tags; camera directives,Longer render (~minutes per clip) on standard queues,$0.50/s per Google pricing (≈$30/min),Proprietary (Google),Released Feb 2025; maintained as legacy option,Proven reliability with longer-duration outputs and documentation,,Legacy quality vs. Veo 3 family; expensive per-second pricing,cloud.google.com/vertex-ai/generative-ai/docs/models/veo/2-0-generate-001; techcrunch.com/2025/02/23/googles-new-ai-video-model-veo-2-will-cost-50-cents-per-second/,
Google,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Veo 3.1 (Gemini API),Text-to-Video (+Audio),"Paid-preview upgrade with richer native audio, improved cinematic control, reference-image ""Ingredients"", and scene extension capabilities.",Generates 2–10s clips by default; scene extension can create sequences up to a minute long at 1080p.,"Text prompts, up to 3 reference images, first/last frame transitions, and integration with Gemini Flow.",Cloud inference via Gemini API/Vertex AI; billed per-second.,$0.20/s (video only) or $0.40/s (audio) via partners like fal.ai.,Proprietary (Gemini API paid preview),"Released Oct 15, 2025, with ongoing Gemini feature drops.",Adds native audio and multi-reference controls to Google’s flagship video stack.,,Paid preview access; higher cost vs. the 'Fast' tier; subject to Google's safety filters.,developers.googleblog.com/en/introducing-veo-3-1-and-new-creative-capabilities-in-the-gemini-api/,
Google,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Veo 3.1 Fast (Gemini API),Text-to-Video (+Audio),A lower-cost Veo 3.1 variant that prioritizes faster turnaround times while retaining the option for native audio and reference controls.,2–10s clips (extendable) at up to 1080p.,"Text prompts, reference images, first/last frame controls; same API as standard Veo 3.1.",Runs on a faster queue through the Gemini API and partners.,$0.10/s (silent) or $0.15/s (audio) on fal.ai.,Proprietary (Gemini API paid preview),"Launched alongside Veo 3.1 on Oct 15, 2025.","Balances Veo 3.1 quality with half-price inference, making it ideal for iterative workflows.",,Still in preview; quality may be slightly below the standard Veo 3.1; clip durations are capped.,developers.googleblog.com/en/introducing-veo-3-1-and-new-creative-capabilities-in-the-gemini-api/,
Runway,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Enterprise,Production",Gen-3 (Alpha & Turbo),Text-to-Video; Image-to-Video,"Introduced significant improvements in human motion and character consistency. Alpha was the base model, with Turbo offering much faster generation for image-conditioned inputs.","5-10s clips, up to 1080p","Text prompts, image conditioning, and integration with Runway's timeline editor.",Turbo is ~7x faster than Alpha (5 credits/s vs 10).,Part of Runway's subscription plans (Free to Unlimited).,Closed-source SaaS; commercial use on paid plans.,"Gen-3 Alpha released mid-2024, superseded by Gen-4 in 2025.",Brought more realistic human motion to the platform.,,Slower and less capable than the subsequent Gen-4.,runwayml.com,
Runway,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Enterprise,Production",Gen-4,Text-to-Image; Image-to-Video; Video Editing,"A major leap in quality, offering superior texture, realism, and control. Fully integrated with Runway's studio-grade timeline editor with keyframes and advanced camera moves.","5-10s clips, can be upscaled to 4K.","Keyframe-able camera paths, timeline-based scene stacking, image input for consistency, inpainting & mask via editor.",Standard generation is faster than Gen-3 Alpha; a 'Turbo' mode offers further speed boosts.,Part of Runway's subscription plans (Free to Unlimited). Credits are consumed per generation.,Closed-source SaaS; commercial use on paid plans.,"Released in 2025, with frequent updates to the model and platform features.","The combination of a state-of-the-art model with a professional, keyframe-based editing interface provides unparalleled creative control.",,The advanced UI has a steeper learning curve than simpler tools. The credit system can be complex.,"runwayml.com""",
Runway,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Enterprise,Production",Gen-4 Turbo,Text-to-Video; Image-to-Video,"Latest Runway Turbo model with character consistency, timeline keyframes, and faster generation",5 or 10 s clips at up to 1080p (longer via stitching),Text prompts; image/video init; timeline keyframes; control tracks,Turbo queue halves render time vs. standard Gen-4,Included in Runway paid plans (credits per render); Unlimited/Turbo plans for power users,Proprietary SaaS,Gen-4 Turbo launched 2025 with continuous updates,Higher-speed Gen-4 pipeline with cinematic consistency for production workflows,,Still credit-based; guardrails can block edgy prompts; requires Runway subscription,runwayml.com/research/introducing-runway-gen-4; help.runwayml.com/hc/en-us/articles/37327109429011-Creating-with-Gen-4-Video,
Luma,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Dream Machine,Text-to-Video; Image/Video-to-Video,Cinematic realism focus; 3D-aware 'Ray' models (Ray 3) with native HDR and camera motion reasoning; fast cloud rendering and user-friendly UI,"Max 10 s per gen (Plus/Unlimited); Draft mode ~540p, up-res to 4K (with HDR) on Plus tier","Simple prompt + style tags; optional image/video input for consistency; UI sliders for camera movement and ""reframe"" effects; one-click 4K/HDR upscale on higher plans",Very fast: often <20 s for draft video (Ray 3 Turbo mode); near-real-time preview in editor; high-priority processing on paid tiers,"Free: 8 draft videos/mo; Lite $7.99/mo (50 drafts, 3200 credits); Plus $23.99/mo (160 videos, 10k credits, 4K/HDR); Unlimited $75.99/mo (10k credits + unlimited relaxed gens). All paid remove watermark; Plus/Unlimited allow commercial use.",Closed-source cloud service (Luma Labs); commercial use allowed on Plus+; model weights not publicly available (Ray3 model accessed via API/app),"Major model upgrades ~ annually (Ray 2 in early 2024, Ray 3 Oct 2025 with HDR and realism boost). App features updated continuously (e.g. added ""Reframe"", depth effects in 2025).","Easiest pro-quality video generator: intuitive app, quick output, and high realism out-of-the-box (often cited for smooth camera motion and physics)",,"Clip length limited to 10 s; lower-tier outputs are draft quality (need upscaling); strict content limits (no faces without permission, etc. per ToS); primarily English-centric prompting",Luma,
Luma,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Ray 2,Text-to-Video; Image-to-Video,"Ray2 model delivers fast coherent motion, ultra-realistic detail and logical event sequences; integrates Modify Video tool",Generates cinematic 5–10 s clips at up to 1080p; HDR demos showcased,Text prompts; image-to-video Modify pipeline; camera controls,Near real-time previews via Luma cloud; available via Amazon Bedrock,Usage via Luma subscription/API; Amazon Bedrock metered pricing,Proprietary hosted (Luma),Ray2 released 2024; added to Amazon Bedrock Oct 2025,Brings Ray physics & realism to enterprise stacks via Bedrock,,No public weights; still capped at short clips; advanced features in Ray3,lumalabs.ai/ray2; aws.amazon.com/blogs/aws/luma-ai-ray-2-video-model-is-now-available-in-amazon-bedrock/,
Pika Lab,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Social Media,Marketing",Pika 2.1,T2V & Image-to-Video,Introduced foundational modular features like Pikascenes for stitching clips and Pikaswaps for subject swapping. Offered Turbo and Pro models.,~5s videos (Turbo); up to 10s with scenes; 576p-720p outputs.,Timeline editor for scenes; text prompts for each scene; image uploads for swaps.,Turbo mode ~1 min for a 5s clip.,Credit-based system with free and paid tiers.,Closed platform; commercial use on paid plans.,Released Oct 2024.,"Pioneered a modular, accessible approach to creative video editing for social media.",,Quality was more stylized than photorealistic; modular features were powerful but could be credit-intensive.,pika.art,
Pika Lab,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Social Media,Marketing",Pika 2.2,T2V & Image-to-Video,Refined the modular system with Pikadditions (inserting objects) and Pikatwists (applying style changes). Improved the quality of Turbo and Pro models.,~5s videos (Turbo); up to 10s with scenes; 576p-720p outputs (higher res in Pro swaps).,"All features from 2.1, plus new tools for object insertion and one-click style changes.",Turbo mode ~1 min for a 5s clip; Pro models take longer.,Credit-based system with free and paid tiers. New features may cost more credits.,Closed platform; commercial use on paid plans.,Released early 2025.,"Offers some of the most granular creative control for social content, with unique object insertion and face-swapping capabilities.",,Still more focused on stylized content than photorealism. The credit cost of advanced features can add up quickly.,"pika.art""",
Kuaishou (Kling Team),VIDEO_GEN,Native Model,Proprietary,REGIONAL,Intermediate,"Production,Social Media",Kling 2.5 Turbo Pro,Text- & Image-to-Video,"Premium tier flagship video generator with major quality upgrades. Significant improvements in prompt adherence, temporal control, fluid motion in dynamic scenes, and style consistency. Supports sound effects track (toggle on/off); multi-character scenes with consistent interactions. Redefines cinematic AI video generation with better physics simulation and reinforcement learning training.",Up to 5–10 s per generation via API/UI; 1080p output at 24–30 FPS; can stitch internally up to ~2 min in app,"Text prompt plus optional image init; advanced camera directives (e.g. ""drone follow shot"") for cinematic angles; complex multi-step and causal relationship prompts; character interactions and scene transitions; toggle to enable auto SFX audio","Optimized ""Turbo"" inference yields ~5 s video in seconds on Kling cloud. Public web UIs (Bylo, Pollo) often run on GPU queues – a few minutes per clip. Native app (Kwai) real-time for short clips","30% cheaper than Kling 2.1 Pro: 25 credits for 5s 1080p (was 35 credits in 2.1). ~$0.04 per 5s video via partners. Free limited trials on third-party sites (Bylo.ai, Pollo.ai). Enterprise API deals available",Closed source; available via Kuaishou's apps and partner APIs. Outputs presumably free for personal use on platform; commercial API use negotiable. No explicit license for downloaded outputs (user must follow Kuaishou content rules),"Released September 19, 2025. Rapid iteration: v2.1 in mid-2024, v2.5 (Sep 2025) with 2× speed/cost improvements. Split into Pro/Standard tiers Oct 2025. Likely new versions every 6–8 months",Best-in-class cinematic video quality; outperforms Veo 3 and Seedance per official benchmarks; excellent prompt adherence with complex multi-step narratives; physics-aware motion with large range; strong style consistency; 30% cost reduction from 2.1. Flexible: can generate silent clips for editing or with auto sound,,Official access mostly in Chinese apps; global users rely on unofficial portals. Documentation in English is sparse. Content is moderated under Chinese law (e.g. stricter on political content). Heavy motion outputs can introduce occasional artifacts in complex scenes. Higher tier cost than Standard,app.klingai.com/global/release-notes/2025-09-19; feedback.scenario.com/changelog,
Kuaishou (Kling Team),VIDEO_GEN,Native Model,Proprietary,REGIONAL,Intermediate,"Production,Social Media",Kling 2.5 Turbo Standard,Text- & Image-to-Video,"Budget-friendly tier of Kling 2.5 family with same quality upgrades as Pro but at 720p resolution. Perfect for high-volume video creation at speed, for less. Same improvements: better prompt adherence, temporal control, smoother motion and temporal consistency, robust camera control, stronger style fidelity. Ideal for cinematic shots, product visuals, sports, and narrative scenes.",Up to 5–10 s per generation; 720p output at 24–30 FPS; can stitch internally up to ~2 min in app via Kling platform,"Text prompt plus optional image init; advanced camera directives for cinematic camera moves (dolly, pan, tilt, orbit); complex scene instructions; character interactions; negative prompts; toggle to enable auto SFX audio","Faster generation than Pro: ~5 s video in seconds on Kling cloud. Optimized for high-volume workflows. Public web UIs (Bylo, Pollo) run on GPU queues – 1-3 minutes per clip","Lower cost than Pro tier; available via Kling platform & partners (Scenario, fal.ai, Higgsfield) with credit-based pricing. Free limited trials on third-party sites. More affordable for bulk generation",Closed source; available via Kuaishou's apps and partner APIs. Outputs presumably free for personal use on platform; commercial API use negotiable. No explicit license for downloaded outputs (user must follow Kuaishou content rules),Released October 2025 as lower-cost tier alongside Kling 2.5 Turbo Pro. Part of tiered pricing strategy similar to Kling 2.1 Master/Standard split,"Most affordable way to access Kling 2.5 quality upgrades; faster generation than Pro; ideal for high-volume content creation, social media, rapid ideation; improved quality/affordability ratio reduces retry costs; same cinematic camera control as Pro",,720p resolution vs 1080p Pro; still limited to Chinese platform ecosystem with English documentation gaps; content moderation under Chinese law; complex dynamic scenes may show artifacts,"blog.fal.ai/kling-2-5-turbo-is-now-available-on-fal; feedback.scenario.com/changelog; app.klingai.com
xAI (Elon Musk),Grok """"""""Imagine""""""""""",
Adobe,VIDEO_GEN,Native Model,Proprietary,BETA,Enterprise,"Production,Social Media",Firefly Video (Beta),Text-to-Video (with Image assist),Enterprise-focused generative video integrated in Adobe Firefly/CC. Emphasis on safe content (no IP or face misuse) and easy post-edit. Uses partner models (e.g. Ray 3 from Luma) under Adobe's UX,Max ~15 s in beta; up to 1080p at launch; longer durations expected as feature matures,"Text prompts and optional reference image; style presets in UI. Supports aspect ratio settings. Tight Creative Cloud integration: can import results into Premiere Pro, etc. All outputs include Content Credentials metadata by default",Fast generation for beta: currently 1080p video costs 20 generative credits/sec (limited-time discount) – roughly 5× faster/cheaper than initial expectation (100 credits/sec). Real-time preview of frames in Firefly web app; final render <1 min for short clip,Included in Firefly Premium plans: e.g. Firefly Standard $4.99/mo (comes with premium generative credits) or as part of Creative Cloud Pro. Creative Cloud subscribers got limited free video tries (2 free videos). Generative credits pool used for video (shared with image/audio tasks). Excess use requires purchasing credit packs,Closed-source; Firefly outputs are user-owned and royalty-free for commercial use (Adobe indemnifies legal use). Strong usage terms forbid toxic or illegal content. All outputs automatically tagged with AI identifier (Content Credentials),Launched Oct 2025 (beta). Frequent model integrations planned: Adobe partners with model makers (e.g. Luma's Ray 3 exclusive preview). Expect rapid improvements and more model options in Firefly over 2026.,"Adobe's polish and trust: unique in enterprise-friendly licensing (indemnification, IP worry-free) and integration with Photoshop/Premiere workflows. Best choice for brands that require compliant content and editing pipeline.",,"Currently in beta with some quality limitations; not as cutting-edge in realism as Sora/Veo. Requires Adobe subscription (costly for casual users). Strict content filters (no adult, violence, or political misuse – generation will fail or be blurred)",Adobe Firefly,
Midjourney,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Midjourney v6,Text-to-Image; Image-to-Video,High-quality artistic model with strong prompt adherence and the initial 'Animate' feature for creating video from images.,Stills up to 2K resolution; Video: 5-21s clips at ~1080p,Text prompts with --v 6 parameter; 'Animate' button on generated images; style and aspect ratio controls.,Image generation in ~<1 min. Video generation takes ~1-2 min per 5s clip.,"Subscription tiers: Basic $10/mo, Standard $30/mo, Pro $60/mo.",Closed-source service; Pro/Mega plan required for companies with >$1M revenue.,Released late 2024/early 2025,"Excellent artistic output and the first version to introduce a simple, integrated video animation feature.",,"Slower than v7; video is image-to-video only, not native text-to-video.",midjourney.com,
Midjourney,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Midjourney v7,Text-to-Image; Image-to-Video,"Draft Mode for up to 10× faster renders, higher realism in textures/anatomy, cinematic options like lens blur, plus Meta.ai access with Variety/Style/Weirdness sliders and SREF input.",Stills up to 2K resolution; Video: 5-21s clips at ~1080p,"Text prompts with --v 7 parameter, conversational editing, cinematic controls, and Meta.ai sliders (Variety/Style/Weirdness) with SREF box; also supports video toggles.",Draft Mode is significantly faster; standard generation is also improved over v6. Video generation time is similar to v6.,"Basic $10/mo, Standard $30/mo, Pro $60/mo — with a current Meta.ai surface that exposes Midjourney for free (subject to Meta policy changes).",Closed-source service; Pro/Mega plan required for companies with >$1M revenue.,Rolled out mid-2025,Fast Draft Mode paired with a no-cost Meta.ai interface expands access beyond Discord.,,Meta.ai access varies by region/account and the stylized output still demands prompt finesse to avoid overcooked looks.,"midjourney.com""",
Stability AI,VIDEO_GEN,Open-Source,Open-Source,,Intermediate,"Production,Social Media",Stable Video Diffusion (14 frames),Image-to-Video,"The initial open research model for video generation. This version generates 14 frames from a starting image, focusing on basic motion and consistency.",14 frames per clip at ~512x512 resolution. Frame rate is user-adjustable (3-30 FPS).,Image and text prompt input via code; no official GUI.,Slow without high-end GPUs; not optimized for speed.,Free and open-source for non-commercial research.,Research license; not for commercial use.,Released Nov 2023 as a research preview.,"A foundational open-source model for video generation, enabling research into multi-view synthesis.",,"Very short clips, no audio, and often flickery. Requires technical skill to use.",huggingface.co/stabilityai/stable-video-diffusion-img2vid,
Stability AI,VIDEO_GEN,Open-Source,Open-Source,,Intermediate,"Production,Social Media",Stable Video Diffusion (25 frames),Image-to-Video,"An improved version of the research model, extending the output to 25 frames for slightly longer and more developed motion.",25 frames per clip at ~512x512 resolution. Frame rate is user-adjustable (3-30 FPS).,Image and text prompt input via code; no official GUI.,Slower than the 14-frame model due to the increased number of frames.,Free and open-source for non-commercial research.,Research license; not for commercial use.,Released Nov 2023 as a research preview.,"Offers longer, more coherent video clips than the 14-frame version, enabling more complex motion studies.",,"Still has the same limitations as the 14-frame model (no audio, non-commercial, requires technical skill).","huggingface.co/stabilityai/stable-video-diffusion-img2vid-xt""",
HPC-AI Tech,VIDEO_GEN,Open-Source,Open-Source,,Intermediate,"Production,Social Media",Open-Sora 2.0,Text-to-Video,"Open-source text-to-video model aiming for SOTA performance at lower compute cost. 12B parameter Transformer+Diffusion hybrid architecture with innovations: hierarchical video token autoencoder (Video DC-AE) for efficient compression, and a three-stage training pipeline (low-res text-to-video, then image-to-video for motion, then hi-res fine-tune). Achieves high fidelity and temporal consistency comparable to proprietary models, per authors.",Can generate ~2–5 s clips (16–24 frames at 480p–720p in demos). Trained for up to 8 s but quality best on shorter outputs. Configurable frame rate ~4–8 FPS (meant for smooth interpolation rather than real-time video).,Text prompt input. Supports basic neg prompts. No built-in user interface – intended for developers (PyTorch code on GitHub). Tools provided for data preprocessing and model training from scratch. Community is working on adding ControlNet-like extensions on top of Open-Sora.,"Requires significant GPU memory (12B model, plus video frames). Generates ~1 second of video in tens of seconds on an A100 GPU. Not optimized for speed – focus was on cost-efficient training rather than fast inference. Further optimization or distillation may be needed for real-time use.","Free and open-source. Code and model weights are on GitHub (Apache 2.0 License). Anyone can use, modify, or even commercialize it (the aim is democratization). No royalties – just credit the project. Essentially the community alternative to Sora.",Completely open under Apache 2.0 – no usage restrictions baked in (aside from ethical AI guidelines). Users are responsible for safe use. HPC-AI Tech released it to spur innovation in video generation. This openness contrasts with most cutting-edge video models.,"Fast progress: Open-Sora 1.0 was mid-2024 (basic text2video). v2.0 released Mar 2025 with major quality leap. Likely ongoing academic-style releases – possibly v2.5 or v3 in 2026 if more funding. Community contributions (fine-tuned checkpoints) appear on HuggingFace, accelerating improvement.","Truly ""Sora for all"" – high-quality results approaching closed models, but at a fraction of training cost (~$200k) thanks to clever optimizations. Gives researchers and smaller companies a fighting chance in video AI. A milestone in open AI like Stable Diffusion was for images.",,"Still somewhat experimental – not as plug-and-play or stable as polished models. Motion can be less fluid in complex scenes. No built-in content filters – risk of misuse (users must handle moderation). And running it demands powerful GPUs (accessibility is relative – easier than training $2M models, but still heavy to run locally for most).",HPC-AI Tech,
Tencent,VIDEO_GEN,Open-Source,Open-Source,REGIONAL,Intermediate,"Production,Social Media",HunyuanVideo,Text-to-Video,"Open-source large T2V model (13B parameters) launched by Tencent in late 2024. Trained on multi-modal video data to achieve high visual quality, diverse motions, and strong text alignment. Claims performance comparable or superior to previous SOTA closed models. Also provides an image-to-video mode (HunyuanVideo-I2V) for single-image animation.","Demonstrated ~5 s videos at 1024×576 in 24 FPS. Can do up to 128 frames (5.3 s at 24 FPS) per generation per the paper, with potential for longer if stitched.","Text prompt input; optional image input mode. Supports various styles (the model learned diverse ""themes""). They released both T2V and I2V model weights. Like most open releases, no official GUI – use via code or community UIs. A live demo site exists (China region) for text-to-video with limited daily quota.","As a large 13B model, inference is heavy – ~10 seconds of video might take a few minutes on multi-GPU setups. Tencent optimized it to some extent (they mention efficiency improvements), but speed is not real-time. Good for batch generation on cloud GPUs.",Free. Model weights on Hugging Face under an open license. Tencent also provides a free web tool (in Chinese) for anyone to try limited generations. No subscription needed. Essentially a public contribution to open AI research (likely to enhance Tencent cloud offerings indirectly).,"Open-source (likely Apache 2.0 or similar). Meant to be used and adapted widely. Commercial use is allowed (Tencent itself might use it in products). It's part of Tencent's ""Hunyuan"" AI platform strategy – they open-sourced to gain community adoption.","Released Dec 2024. No major update as of Oct 2025 publicly, but ongoing internal research presumably. It was a one-time big release; future ""HunyuanVideo 2"" might depend on research direction. Meanwhile, community is fine-tuning it (e.g. custom models on HuggingFace).","First Chinese open model at parity with Western closed models. Excellent at complex motions and understanding Chinese text prompts (multilingual capability). Being open, it fosters global research and integration, raising the bar for non-English video generation especially.",,"Hardware intensive (13B model + video frames means needing at least an A100 GPU to run smoothly). Documentation and support mostly in Chinese (international users rely on translations). Also, as an open model, outputs aren't filtered – users can generate disallowed content unless they implement safety checks.",Tencent,
Genmo,VIDEO_GEN,Open-Source,Open-Source,BETA,Intermediate,"Production,Social Media",Mochi 1 (preview),Text-to-Video,Open-source text-to-video model (by Genmo.ai) with focus on high motion fidelity and prompt obedience. Aims to close the quality gap to closed models. It's a diffusion-based video model released in late 2024 as a preview.,Shown generating ~3–4 s clips at 512×512 (12–16 frames @ ~4 FPS). Meant to demonstrate short dynamic motions (e.g. a person doing a quick action). Longer sequences possible by chaining but not primary use.,"Text prompts only. Genmo provided a hosted demo and Docker to run Mochi. No special control inputs beyond the prompt. Designed to be simple: input text, get video. Community can integrate it into notebooks or UIs (e.g. RunPod, Modal examples exist).","Moderate speed: a few seconds of video in perhaps ~30–60 seconds on a high-end GPU (roughly ~2× image generation time times number of frames). Genmo likely used optimized pytorch for release, but still not real-time.","Free and open. Available on GitHub/Hub (MIT license via Genmo). Genmo had a free online demo (during preview launch) to showcase it. They might build paid products on it eventually, but the model itself is open.","Very permissive open-source (MIT). You can use it in any projects. Genmo's ethos is community-first, so they released Mochi to spur innovation and gather feedback. No usage restrictions coded, aside from general responsible AI advisories.","Released Nov 2024 as ""preview"". Genmo hinted at continuing improvements (Mochi 2 etc.) but no major public release as of late 2025. The project is active on GitHub with updates to improve stability. We might see an official ""v1"" when it's more refined.","Strong motion realism among open models – e.g. ""exceptional motion consistency"" reported by early testers. Good prompt alignment too. Essentially one of the best fully open text-to-video as of 2024, moving the needle for community models.",,"Still a preview: occasional flicker between frames, and resolution is limited (for higher res, needs interpolation/upscaling). Also lacks advanced features (no audio, no control nets). Some users report it struggles with very complex prompts or long dialogues in the scene.",Genmo,
